date,losses,player,wins
2000-03-17,167,Shin Jinseo,507
1996-08-06,263,Fan Tingyu,403
2000-06-13,117,Ding Hao,168
1995-02-01,216,Li Xuanhao,283
1996-01-08,250,Mi Yuting,434
1998-03-13,158,Gu Zihao,264
1997-08-02,207,Ke Jie,508
1998-10-19,240,Yang Dingxin,357
1993-01-11,320,Park Junghwan,794
1997-01-14,203,Byun Sangil,324
1994-06-17,229,Dang Yifei,238
2000-04-10,114,Li Weiqing,144
1994-04-08,244,Lian Xiao,382
1998-02-04,223,Lee Donghoon,329
1999-11-22,145,Xu Jiayang,212
1997-06-10,233,Ichiriki Ryo,478
2000-01-14,144,Xie Ke,192
1991-01-15,327,Tuo Jiaxi,504
1989-05-24,306,Iyama Yuta,687
1998-10-20,188,Li Qincheng,268
2000-12-20,144,Liao Yuanhe,177
1999-01-11,229,Shin Minjun,308
2001-04-30,116,Xu Haohong,298
1992-01-14,260,Peng Liyao,337
1989-06-13,352,Kim Jiseok,594
1985-07-15,318,Weon Seongjin,432
1997-01-15,188,Huang Yunsong,242
1991-10-17,291,Jiang Weijie,412
1999-06-04,170,Zhao Chenyu,194
1998-09-26,179,Xie Erhao,239
2004-02-02,50,Wang Xinghao,85
1997-04-07,134,Kim Myounghoon,168
1989-01-23,364,Kang Dongyun,523
1997-12-24,149,Hsu Chiayuan,287
1989-12-16,406,Chen Yaoye,595
1994-07-05,217,Tao Xinran,260
1992-09-30,134,Lee Jihyun (m),176
1991-01-11,336,Shi Yue,508
1997-01-28,116,Yang Kaiwen,131
1998-06-14,91,Park Geunho,88
1997-12-10,124,Fan Yin,144
1996-04-27,111,Lee Changseok,137
1993-03-10,313,Tan Xiao,386
1993-01-15,310,Tang Weixing,362
1996-04-26,225,Tong Mengcheng,262
1985-04-01,412,Park Yeonghun,632
1987-02-12,261,Meng Tailing,288
2003-10-17,67,Tu Xiaoyu,93
1991-03-23,178,Zhang Tao,164
1999-01-29,110,Seol Hyunjun,120
1988-12-24,200,Wang Haoyang,164
1999-11-09,163,Shibano Toramaru,280
1985-03-12,454,Choi Cheolhan,701
1998-02-14,104,Park Hamin,112
1995-06-19,177,Yu Zhengqi,297
1986-09-07,127,Park Jinsol,131
1997-05-11,120,Chen Xian,125
1994-11-11,111,Rong Yi,95
1994-05-19,28,Hong Mujin,30
1991-09-16,156,An Sungjoon,186
1997-02-07,145,Han Yizhou,124
2000-01-05,115,Chen Zijian,102
2000-05-29,95,Yi Lingtao,91
1996-11-27,113,Han Seungjoo,108
1987-08-23,278,Lee Yeongkyu,364
1996-10-07,198,Choi Jeong,414
1997-11-26,192,Lin Junyan,290
1993-09-12,147,Sun Tengyu,139
1990-01-18,169,Mao Ruilong,151
1987-08-07,212,Hong Seongji,217
