,player_name,gender,nationality,date+of_birth,elo,wins,losses,total
0,Shin Jinseo,Male,kr,2000-03-17,3843,507,167,674
1,Ke Jie,Male,cn,1997-08-02,3715,508,207,715
2,Park Junghwan,Male,kr,1993-01-11,3685,794,320,1114
3,Gu Zihao,Male,cn,1998-03-13,3646,264,158,422
4,Byun Sangil,Male,kr,1997-01-14,3644,324,203,527
5,Ding Hao,Male,cn,2000-06-13,3643,168,117,285
6,Mi Yuting,Male,cn,1996-01-08,3639,434,250,684
7,Yang Dingxin,Male,cn,1998-10-19,3620,357,240,597
8,Fan Tingyu,Male,cn,1996-08-06,3610,403,263,666
9,Li Xuanhao,Male,cn,1995-02-01,3605,283,216,499
10,Dang Yifei,Male,cn,1994-06-17,3580,238,229,467
11,Li Weiqing,Male,cn,2000-04-10,3570,144,114,258
12,Ichiriki Ryo,Male,jp,1997-06-10,3561,478,233,711
13,Xu Jiayang,Male,cn,1999-11-22,3560,212,145,357
14,Lee Donghoon,Male,kr,1998-02-04,3555,329,223,552
15,Lian Xiao,Male,cn,1994-04-08,3550,382,244,626
