average_rating_differences,black_lose,black_win,date,losses,player,total,white_lose,white_win,wins
-397.8,0.0,0.3,2000-03-17,167,Shin Jinseo,675,0.0,0.7,508
-31.4,0.1,0.3,1996-08-06,263,Fan Tingyu,666,0.1,0.5,403
-65.9,0.5,0.3,2000-06-13,117,Ding Hao,285,0.2,0.0,168
-27.9,0.1,0.3,1995-02-01,216,Li Xuanhao,499,0.1,0.5,283
-52.3,0.4,0.2,1996-01-08,250,Mi Yuting,684,0.1,0.3,434
-163.5,0.1,0.5,1997-01-14,203,Byun Sangil,527,0.2,0.2,324
-115.0,0.3,0.2,1997-08-02,207,Ke Jie,715,0.1,0.4,508
8.1,0.2,0.3,1998-10-19,240,Yang Dingxin,597,0.3,0.2,357
-32.2,0.2,0.3,1994-06-17,229,Dang Yifei,467,0.2,0.3,238
-230.6,0.2,0.2,1993-01-11,320,Park Junghwan,1115,0.1,0.5,795
-86.7,0.1,0.5,2000-04-10,114,Li Weiqing,258,0.2,0.2,144
-158.9,0.2,0.5,1997-06-10,233,Ichiriki Ryo,711,0.0,0.3,478
-51.9,0.3,0.1,1998-02-04,223,Lee Donghoon,552,0.3,0.3,329
19.6,0.3,0.2,2000-01-14,144,Xie Ke,336,0.3,0.2,192
-48.8,0.5,0.1,1999-11-22,145,Xu Jiayang,357,0.1,0.3,212
18.8,0.4,0.1,1994-04-08,244,Lian Xiao,626,0.2,0.3,382
-61.2,0.4,0.2,1998-03-13,158,Gu Zihao,422,0.3,0.1,264
-20.6,0.4,0.1,1989-05-24,306,Iyama Yuta,993,0.3,0.2,687
-175.6,0.1,0.5,2001-04-30,116,Xu Haohong,414,0.0,0.4,298
18.9,0.3,0.4,1991-01-15,327,Tuo Jiaxi,831,0.1,0.2,504
2.0,0.0,0.4,1999-01-11,229,Shin Minjun,537,0.2,0.4,308
-82.0,0.1,0.1,1989-06-13,352,Kim Jiseok,946,0.4,0.4,594
33.0,0.3,0.1,2000-12-20,144,Liao Yuanhe,321,0.4,0.2,177
7.4,0.1,0.2,1998-10-20,188,Li Qincheng,456,0.4,0.3,268
-30.0,0.2,0.5,1992-01-14,260,Peng Liyao,597,0.1,0.2,337
28.1,0.5,0.1,1991-10-17,291,Jiang Weijie,703,0.4,0.0,412
-3.8,0.5,0.1,1997-01-15,188,Huang Yunsong,430,0.1,0.3,242
57.6,0.2,0.2,1999-06-04,170,Zhao Chenyu,364,0.4,0.2,194
-0.5,0.2,0.1,1998-09-26,179,Xie Erhao,418,0.4,0.3,239
-16.8,0.3,0.2,1997-04-07,134,Kim Myounghoon,302,0.0,0.5,168
-111.3,0.1,0.4,1997-12-24,149,Hsu Chiayuan,436,0.0,0.5,287
-232.4,0.1,0.6,2004-02-02,50,Wang Xinghao,135,0.0,0.3,85
-31.7,0.2,0.3,1989-01-23,364,Kang Dongyun,887,0.2,0.3,523
-39.3,0.6,0.0,1985-07-15,320,Weon Seongjin,752,0.2,0.2,432
-15.2,0.1,0.0,1989-12-16,406,Chen Yaoye,1001,0.5,0.4,595
14.1,0.1,0.3,1997-01-28,116,Yang Kaiwen,247,0.3,0.3,131
41.6,0.3,0.2,1991-01-11,336,Shi Yue,844,0.1,0.4,508
-29.0,0.5,0.3,1992-09-30,134,Lee Jihyun (m),310,0.0,0.2,176
58.2,0.4,0.2,1994-07-05,217,Tao Xinran,477,0.3,0.1,260
48.1,0.4,0.1,1997-12-10,124,Fan Yin,268,0.2,0.3,144
-5.5,0.2,0.5,1998-06-14,91,Park Geunho,179,0.1,0.2,88
-66.5,0.2,0.2,1996-04-27,111,Lee Changseok,248,0.1,0.5,137
-25.5,0.2,0.3,1985-04-01,413,Park Yeonghun,1046,0.3,0.2,633
-48.9,0.3,0.1,1995-06-19,177,Yu Zhengqi,474,0.4,0.2,297
-44.0,0.4,0.2,1993-01-15,310,Tang Weixing,672,0.2,0.2,362
-53.2,0.3,0.3,1987-02-12,261,Meng Tailing,549,0.1,0.3,288
55.7,0.3,0.0,1996-04-26,225,Tong Mengcheng,487,0.5,0.2,262
-59.0,0.3,0.3,2003-10-17,67,Tu Xiaoyu,160,0.1,0.3,93
53.0,0.5,0.0,1993-03-10,313,Tan Xiao,699,0.1,0.4,386
52.5,0.5,0.3,1991-03-23,178,Zhang Tao,342,0.1,0.1,164
4.6,0.3,0.0,1988-12-24,200,Wang Haoyang,364,0.0,0.7,164
-147.5,0.2,0.4,1999-01-29,110,Seol Hyunjun,230,0.1,0.3,120
8.3,0.2,0.3,1999-11-09,163,Shibano Toramaru,443,0.4,0.1,280
-80.7,0.1,0.5,1998-02-14,104,Park Hamin,216,0.1,0.3,112
70.3,0.2,0.0,1997-05-11,120,Chen Xian,245,0.6,0.2,125
33.9,0.4,0.1,1994-11-11,111,Rong Yi,206,0.2,0.3,95
-41.9,0.2,0.3,1985-03-12,454,Choi Cheolhan,1155,0.4,0.1,701
-43.5,0.2,0.2,1986-09-07,127,Park Jinsol,258,0.3,0.3,131
89.3,0.1,0.2,1997-02-07,145,Han Yizhou,269,0.5,0.2,124
24.4,0.2,0.2,1991-09-16,156,An Sungjoon,342,0.5,0.1,186
63.4,0.1,0.1,1996-11-27,113,Han Seungjoo,221,0.6,0.2,108
21.0,0.1,0.0,2000-01-05,115,Chen Zijian,217,0.2,0.7,102
-58.1,0.0,0.3,2000-01-14,37,Park Jonghoon,91,0.3,0.4,54
17.2,0.4,0.1,1994-05-19,28,Hong Mujin,58,0.1,0.4,30
102.2,0.5,0.1,2000-05-29,95,Yi Lingtao,186,0.3,0.1,91
-105.8,0.1,0.4,1996-10-07,198,Choi Jeong,612,0.2,0.3,414
-11.9,0.1,0.2,1987-08-23,278,Lee Yeongkyu,642,0.3,0.4,364
49.5,0.3,0.2,1994-06-05,86,Park Minkyu,172,0.2,0.3,86
-70.1,0.2,0.3,1993-09-12,147,Sun Tengyu,286,0.1,0.4,139
83.7,0.1,0.3,2004-06-23,14,Jin Yucheng,32,0.4,0.2,18
-77.3,0.2,0.3,1990-01-18,169,Mao Ruilong,320,0.2,0.3,151
-0.4,0.3,0.2,1997-11-26,192,Lin Junyan,482,0.3,0.2,290
27.5,0.2,0.2,1987-08-07,212,Hong Seongji,429,0.3,0.3,217
-114.7,0.4,0.3,1996-03-14,222,Wang Yuanjun,573,0.2,0.1,351
131.4,0.8,0.2,1992-08-06,71,Cao Xiaoyang,127,0.0,0.0,56
43.2,0.4,0.2,1991-11-26,134,Kang Yootaek,294,0.2,0.2,160
39.1,0.5,0.1,1991-03-08,380,Zhou Ruiyang,916,0.3,0.1,536
-56.4,0.3,0.5,1986-07-02,215,Heo Yongho,455,0.1,0.1,240
114.9,0.3,0.0,1994-10-30,122,Xia Chenkun,250,0.6,0.1,128
-5.1,0.2,0.2,1990-07-31,218,Wu Guangya,430,0.3,0.3,212
87.8,0.3,0.1,1997-07-09,70,An Jungki,144,0.2,0.4,74
29.2,0.2,0.1,1997-04-10,79,Choi Jaeyoung,152,0.4,0.3,73
13.8,0.1,0.6,1999-02-08,113,Wang Zejin,216,0.3,0.0,103
65.2,0.2,0.4,1992-08-11,171,Kim Seongjae,321,0.3,0.1,150
42.1,0.2,0.3,1992-05-08,125,Lee Wonyoung,239,0.3,0.2,114
26.2,0.0,0.5,1996-01-26,63,Kim Jinhwi,124,0.3,0.2,61
-2.1,0.4,0.5,1995-01-30,211,Na Hyun,466,0.1,0.0,255
-4.0,0.3,0.5,1994-11-29,135,Kang Seungmin,243,0.1,0.1,108
109.3,0.6,0.0,1996-03-01,9,Heo Youngrak,17,0.2,0.2,8
-189.9,0.2,0.3,2000-06-15,163,Chen Qirui,443,0.0,0.5,280
60.0,0.3,0.0,2001-07-18,30,Liu Yuhang,59,0.4,0.3,29
-64.9,0.1,0.5,1994-03-15,180,Ida Atsushi,430,0.3,0.1,250
83.2,0.5,0.1,2002-08-23,32,Huang Mingyu,57,0.0,0.4,25
3.2,0.3,0.0,2001-05-19,71,Park Sangjin,143,0.2,0.5,72
200.2,0.3,0.1,1996-11-27,72,Hu Yuhan,122,0.3,0.3,50
104.0,0.5,0.3,2000-10-12,98,Jiang Qirun,169,0.2,0.0,71
38.4,0.6,0.3,1991-04-12,127,Kim Junghyun,254,0.0,0.1,127
29.4,0.1,0.2,1998-10-04,42,Sim Jaeik,68,0.4,0.3,26
47.1,0.1,0.1,1986-07-02,213,Paek Hongseok,462,0.6,0.2,249
